Fic number,Sentence number,Word,POS,IOB
0,0,It,PRP,
0,0,’,VBZ,
0,0,s,RB,
0,0,been,VBN,
0,0,centuries,NNS,
0,0,since,IN,
0,0,they,PRP,
0,0,have,VBP,
0,0,last,JJ,
0,0,seen,VBN,
0,0,each,DT,
0,0,other,JJ,
0,0,",",",",
0,0,when,WRB,
0,0,Aziraphale,NNP,
0,0,sees,VBZ,
0,0,Crowley,NNP,
0,0,across,IN,
0,0,the,DT,
0,0,battlefield,NN,
0,0,.,.,
0,1,Crowley,NNP,
0,1,looks,VBZ,
0,1,incandescent,NN,
0,1,to,TO,
0,1,his,PRP$,
0,1,eyes,NNS,
0,1,",",",",
0,1,aglow,NN,
0,1,with,IN,
0,1,power,NN,
0,1,",",",",
0,1,dark,JJ,
0,1,wings,NNS,
0,1,almost,RB,
0,1,melting,VBG,
0,1,into,IN,
0,1,the,DT,
0,1,darker,NN,
0,1,sky,NN,
0,1,above,IN,
0,1,the,DT,
0,1,fields,NNS,
0,1,.,.,
0,2,He,PRP,
0,2,is,VBZ,
0,2,fierce,JJ,
0,2,with,IN,
0,2,mad,JJ,
0,2,fire,NN,
0,2,",",",",
0,2,merciless,NN,
0,2,to,TO,
0,2,any,DT,
0,2,who,WP,
0,2,stand,VBP,
0,2,in,IN,
0,2,his,PRP$,
0,2,way,NN,
0,2,and,CC,
0,2,coldly,JJ,
0,2,ignores,NNS,
0,2,those,DT,
0,2,who,WP,
0,2,cower,VBP,
0,2,away,RB,
0,2,from,IN,
0,2,his,PRP$,
0,2,path,NN,
0,2,.,.,
0,3,There,EX,
0,3,are,VBP,
0,3,many,JJ,
0,3,who,WP,
0,3,choose,VBP,
0,3,to,TO,
0,3,stand-,NN,
0,3,after,IN,
0,3,all,DT,
0,3,",",",",
0,3,angels,NNS,
0,3,are,VBP,
0,3,not,RB,
0,3,cowards,NNS,
0,3,.,.,
0,4,Angels,NNS,
0,4,are,VBP,
0,4,not,RB,
0,4,cowards,NNS,
0,4,.,.,
0,5,This,DT,
0,5,has,VBZ,
0,5,been,VBN,
0,5,drilled,VBN,
0,5,into,IN,
0,5,them,PRP,
0,5,since,IN,
0,5,the,DT,
0,5,Beginning,NNP,
0,5,",",",",
